"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes","n_rows","scale_type","record"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","plot",400,NA,"exp","",390,"method_scale","m2"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","grassland","Oceania","landscape",5.18e+08,NA,"exp","",84,"ecological_scale","m2"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","grassland","Oceania","plot",10,NA,"exp","",390,"method_scale","m2"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","grassland","Oceania","plot",400,NA,"exp","",390,"method_scale","m2"
"Andres Torrella, Sebastian; Gabriel Ginzburg, Ruben; Miguel Adamoli, Jorge; Galetto, Leonardo","Changes in forest structure and tree recruitment in Argentinean Chaco: Effects of fragment size and landscape forest cover","10.1016/j.foreco.2013.07.016","FOREST ECOLOGY AND MANAGEMENT","forest","South America","landscape",4.5e+07,NA,"obs","",84,"ecological_scale","m2"
"Andres Torrella, Sebastian; Gabriel Ginzburg, Ruben; Miguel Adamoli, Jorge; Galetto, Leonardo","Changes in forest structure and tree recruitment in Argentinean Chaco: Effects of fragment size and landscape forest cover","10.1016/j.foreco.2013.07.016","FOREST ECOLOGY AND MANAGEMENT","forest","South America","plot",400,NA,"obs","",390,"method_scale","m2"
"Haas, Sarah E.; Cushman, J. Hall; Dillon, Whalen W.; Rank, Nathan E.; Rizzo, David M.; Meentemeyer, Ross K.","Effects of individual, community, and landscape drivers on the dynamics of a wildland forest epidemic","10.1890/15-0767.1","ECOLOGY","forest","North America","landscape",2.75e+08,NA,"obs","",84,"ecological_scale","m2"
"Haas, Sarah E.; Cushman, J. Hall; Dillon, Whalen W.; Rank, Nathan E.; Rizzo, David M.; Meentemeyer, Ross K.","Effects of individual, community, and landscape drivers on the dynamics of a wildland forest epidemic","10.1890/15-0767.1","ECOLOGY","forest","North America","plot",225,NA,"obs","",390,"method_scale","m2"
"Haas, Sarah E.; Cushman, J. Hall; Dillon, Whalen W.; Rank, Nathan E.; Rizzo, David M.; Meentemeyer, Ross K.","Effects of individual, community, and landscape drivers on the dynamics of a wildland forest epidemic","10.1890/15-0767.1","ECOLOGY","forest","North America","regional",2.75e+08,NA,"obs","",62,"ecological_scale","m2"
"Knight, KS; Reich, PB","Opposite relationships between invasibility and native species richness at patch versus landscape scales","10.1111/j.0030-1299.2005.13639.x","OIKOS","forest","North America","patch",1,NA,"obs","",27,"ecological_scale","m2"
"Knight, KS; Reich, PB","Opposite relationships between invasibility and native species richness at patch versus landscape scales","10.1111/j.0030-1299.2005.13639.x","OIKOS","forest","North America","landscape",100,NA,"obs","",84,"ecological_scale","m2"
"Knight, KS; Reich, PB","Opposite relationships between invasibility and native species richness at patch versus landscape scales","10.1111/j.0030-1299.2005.13639.x","OIKOS","forest","North America","plot",1,NA,"obs","",390,"method_scale","m2"
