"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes","n_rows","scale_type","record"
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","plot",36,NA,"obs","",390,"method_scale","m2"
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","local",NA,NA,"obs","",78,"ecological_scale",NA
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","regional",NA,NA,"obs","",62,"ecological_scale",NA
"Bowker, Matthew A.; Maestre, Fernando T.","Inferring local competition intensity from patch size distributions: a test using biological soil crusts","10.1111/j.1600-0706.2012.20192.x","OIKOS","grassland","Europe","local",5e-04,NA,"obs","",78,"ecological_scale","m2"
"Bowker, Matthew A.; Maestre, Fernando T.","Inferring local competition intensity from patch size distributions: a test using biological soil crusts","10.1111/j.1600-0706.2012.20192.x","OIKOS","grassland","Europe","neighbourhood",5e-04,NA,"obs","",29,"ecological_scale","m2"
"Staude, Ingmar R.; Velez-Martin, Eduardo; Andrade, Bianca O.; Podgaiski, Luciana Regina; Boldrini, Ilsi I.; Mendonca, Milton, Jr.; Pillar, Valerio D.; Overbeck, Gerhard E.","Local biodiversity erosion in south Brazilian grasslands under moderate levels of landscape habitat loss","10.1111/j.1600-0706.2012.20192.x","OIKOS","grassland","South America","local",4900,NA,"obs","",78,"ecological_scale","m2"
"Staude, Ingmar R.; Velez-Martin, Eduardo; Andrade, Bianca O.; Podgaiski, Luciana Regina; Boldrini, Ilsi I.; Mendonca, Milton, Jr.; Pillar, Valerio D.; Overbeck, Gerhard E.","Local biodiversity erosion in south Brazilian grasslands under moderate levels of landscape habitat loss","10.1111/1365-2664.13067","OIKOS","grassland","South America","plot",1,NA,"obs","",390,"method_scale","m2"
"Staude, Ingmar R.; Velez-Martin, Eduardo; Andrade, Bianca O.; Podgaiski, Luciana Regina; Boldrini, Ilsi I.; Mendonca, Milton, Jr.; Pillar, Valerio D.; Overbeck, Gerhard E.","Local biodiversity erosion in south Brazilian grasslands under moderate levels of landscape habitat loss","10.1111/1365-2664.13067","OIKOS","grassland","South America","landscape",4e+06,NA,"obs","",84,"ecological_scale","m2"
"Harrison, Susan; Grace, James B.","Biogeographic affinity helps explain productivity-richness relationships at regional and local scales","10.1086/519010","AMERICAN NATURALIST","multiple","North America","local",1000,NA,"obs","",78,"ecological_scale","m2"
"Harrison, Susan; Grace, James B.","Biogeographic affinity helps explain productivity-richness relationships at regional and local scales","10.1086/519010","AMERICAN NATURALIST","multiple","North America","regional",8.1e+07,NA,"obs","",62,"ecological_scale","m2"
"Harrison, Susan; Grace, James B.","Biogeographic affinity helps explain productivity-richness relationships at regional and local scales","10.1086/519010","AMERICAN NATURALIST","multiple","North America","regional",5.31e+09,NA,"obs","",62,"ecological_scale","m2"
