"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Zuleta, Daniel; Benavides, Ana M.; Lopez-Rios, Victor; Duque, Alvaro","Local and regional determinants of vascular epiphyte mortality in the Andean mountains of Colombia","10.1111/1365-2745.12563","JOURNAL OF ECOLOGY","forest","South America","subplot",1600,NA,"obs",""
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","landscape",1e+09,NA,"obs",""
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","plot",36,NA,"obs",""
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","local",NA,NA,"obs",""
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","regional",NA,NA,"obs",""
"Bowker, Matthew A.; Maestre, Fernando T.","Inferring local competition intensity from patch size distributions: a test using biological soil crusts","10.1111/j.1600-0706.2012.20192.x","OIKOS","grassland","Europe","local",5e-04,NA,"obs",""
"Bowker, Matthew A.; Maestre, Fernando T.","Inferring local competition intensity from patch size distributions: a test using biological soil crusts","10.1111/j.1600-0706.2012.20192.x","OIKOS","grassland","Europe","neighbourhood",5e-04,NA,"obs",""
"Staude, Ingmar R.; Velez-Martin, Eduardo; Andrade, Bianca O.; Podgaiski, Luciana Regina; Boldrini, Ilsi I.; Mendonca, Milton, Jr.; Pillar, Valerio D.; Overbeck, Gerhard E.","Local biodiversity erosion in south Brazilian grasslands under moderate levels of landscape habitat loss","10.1111/j.1600-0706.2012.20192.x","OIKOS","grassland","South America","local",4900,NA,"obs",""
"Staude, Ingmar R.; Velez-Martin, Eduardo; Andrade, Bianca O.; Podgaiski, Luciana Regina; Boldrini, Ilsi I.; Mendonca, Milton, Jr.; Pillar, Valerio D.; Overbeck, Gerhard E.","Local biodiversity erosion in south Brazilian grasslands under moderate levels of landscape habitat loss","10.1111/1365-2664.13067","OIKOS","grassland","South America","plot",1,NA,"obs",""
"Staude, Ingmar R.; Velez-Martin, Eduardo; Andrade, Bianca O.; Podgaiski, Luciana Regina; Boldrini, Ilsi I.; Mendonca, Milton, Jr.; Pillar, Valerio D.; Overbeck, Gerhard E.","Local biodiversity erosion in south Brazilian grasslands under moderate levels of landscape habitat loss","10.1111/1365-2664.13067","OIKOS","grassland","South America","landscape",4e+06,NA,"obs",""
"Harrison, Susan; Grace, James B.","Biogeographic affinity helps explain productivity-richness relationships at regional and local scales","10.1086/519010","AMERICAN NATURALIST","multiple","North America","local",1000,NA,"obs",""
"Harrison, Susan; Grace, James B.","Biogeographic affinity helps explain productivity-richness relationships at regional and local scales","10.1086/519010","AMERICAN NATURALIST","multiple","North America","regional",8.1e+07,NA,"obs",""
"Harrison, Susan; Grace, James B.","Biogeographic affinity helps explain productivity-richness relationships at regional and local scales","10.1086/519010","AMERICAN NATURALIST","multiple","North America","regional",5.31e+09,NA,"obs",""
"Bahram, Mohammad; Polme, Sergei; Koljalg, Urmas; Zarre, Shahin; Tedersoo, Leho","Regional and local patterns of ectomycorrhizal fungal diversity and community structure along an altitudinal gradient in the Hyrcanian forests of northern Iran","10.1111/j.1469-8137.2011.03927.x","NEW PHYTOLOGIST","forest","Asia","local",NA,NA,"exp",""
"Bahram, Mohammad; Polme, Sergei; Koljalg, Urmas; Zarre, Shahin; Tedersoo, Leho","Regional and local patterns of ectomycorrhizal fungal diversity and community structure along an altitudinal gradient in the Hyrcanian forests of northern Iran","10.1111/j.1469-8137.2011.03927.x","NEW PHYTOLOGIST","forest","Asia","regional",NA,NA,"exp",""
"Baldeck, C. A.; Kembel, S. W.; Harms, K. E.; Yavitt, J. B.; John, R.; Turner, B. L.; Madawala, S.; Gunatilleke, N.; Gunatilleke, S.; Bunyavejchewin, S.; Kiratiprayoon, S.; Yaacob, A.; Supardi, M. N. N.; Valencia, R.; Navarrete, H.; Davies, S. J.; Chuyong, G. B.; Kenfack, D.; Thomas, D. W.; Dalling, J. W.","Phylogenetic turnover along local environmental gradients in tropical forest communities","10.1007/s00442-016-3686-2","OECOLOGIA","forest","Global","local",NA,1,"obs",""
