"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Forey, Estelle; Lortie, Christopher J.; Michalet, Richard","Spatial patterns of association at local and regional scales in coastal sand dune communities","10.1111/j.1654-1103.2009.01095.x","JOURNAL OF VEGETATION SCIENCE","desert and tundra","Europe","local",NA,NA,"obs",""
"Forey, Estelle; Lortie, Christopher J.; Michalet, Richard","Spatial patterns of association at local and regional scales in coastal sand dune communities","10.1111/j.1654-1103.2009.01095.x","JOURNAL OF VEGETATION SCIENCE","desert and tundra","Europe","quadrat",0.25,NA,"obs","coastal sand dune"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","forest","Oceania","landscape",5.18e+08,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","forest","Oceania","plot",10,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","forest","Oceania","plot",400,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","landscape",5.18e+08,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","plot",10,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","plot",400,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","grassland","Oceania","landscape",5.18e+08,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","grassland","Oceania","plot",10,NA,"exp",""
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","grassland","Oceania","plot",400,NA,"exp",""
"Andres Torrella, Sebastian; Gabriel Ginzburg, Ruben; Miguel Adamoli, Jorge; Galetto, Leonardo","Changes in forest structure and tree recruitment in Argentinean Chaco: Effects of fragment size and landscape forest cover","10.1016/j.foreco.2013.07.016","FOREST ECOLOGY AND MANAGEMENT","forest","South America","landscape",4.5e+07,NA,"obs",""
"Andres Torrella, Sebastian; Gabriel Ginzburg, Ruben; Miguel Adamoli, Jorge; Galetto, Leonardo","Changes in forest structure and tree recruitment in Argentinean Chaco: Effects of fragment size and landscape forest cover","10.1016/j.foreco.2013.07.016","FOREST ECOLOGY AND MANAGEMENT","forest","South America","plot",400,NA,"obs",""
"Haas, Sarah E.; Cushman, J. Hall; Dillon, Whalen W.; Rank, Nathan E.; Rizzo, David M.; Meentemeyer, Ross K.","Effects of individual, community, and landscape drivers on the dynamics of a wildland forest epidemic","10.1890/15-0767.1","ECOLOGY","forest","North America","landscape",2.75e+08,NA,"obs",""
